City,State,Lat,Lng,ID
Tacambaro de Codallos,Michoacán,19.2356,-101.4569,1484508699
Cadereyta Jimenez,Nuevo León,25.6,-100.0,1484839099
Frontera,Coahuila,26.926,-101.449,1484811972
Juchitan de Zaragoza,Oaxaca,16.4333,-95.0167,1484386317
Silao,Guanajuato,20.9478,-101.4281,1484276023
San Francisco del Rincon,Guanajuato,21.0228,-101.86,1484674455
Tejupilco,México,18.9058,-100.1528,1484506998
Linares,Nuevo León,24.8597,-99.5647,1484504671
San Miguel de Allende,Guanajuato,20.9142,-100.7436,1484007926
San Juan de los Lagos,Jalisco,21.2458,-102.3308,1484319370
Los Reyes de Salgado,Michoacán,19.5833,-102.4667,1484279186
Rioverde,San Luis Potosí,21.93,-99.98,1484341437
Ixtaczoquitlan,Veracruz,18.85,-97.0667,1484464346
Purisima de Bustos,Guanajuato,21.0333,-101.8667,1484104201
Jacona de Plancarte,Michoacán,19.9333,-102.3167,1484202328
Yuriria,Guanajuato,20.2,-101.15,1484511222
Mineral de la Reforma,Hidalgo,20.15,-98.4333,1484886107
Valle Hermoso,Tamaulipas,25.6736,-97.8144,1484479299
Zapotlanejo,Jalisco,20.6228,-103.0689,1484013669
Cabo San Lucas,Baja California Sur,22.8897,-109.9156,1484694325
Ixtlahuacan de los Membrillos,Jalisco,20.35,-103.1833,1484370414
La Barca,Jalisco,20.2833,-102.5667,1484900173
Tepotzotlan,México,19.7161,-99.2236,1484890297
Santa Catarina Otzolotepec,Puebla,18.5667,-97.25,1484006128
Heroica Caborca,Sonora,30.7167,-112.15,1484993432
Zihuatanejo,Guerrero,17.6444,-101.5511,1484489217
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,21.1516,-100.9369,1484115665
San Mateo Atenco,México,19.2667,-99.5333,1484296261
Ramos Arizpe,Coahuila,25.55,-100.9667,1484685820
Ocoyoacac,México,19.2739,-99.4606,1484479100
Torreon,Coahuila,25.5419,-103.4083,1484215762
Jocotitlan,México,19.7072,-99.7867,1484167307
Jiquilpan de Juarez,Michoacán,19.9942,-102.7172,1484915765
Autlan de Navarro,Jalisco,19.7667,-104.3667,1484240559
Coyula,Jalisco,20.6586,-103.2264,1484778877
Sabinas,Coahuila,27.9167,-101.3,1484526560
Santo Domingo Tehuantepec,Oaxaca,16.3244,-95.2389,1484904308
Apaseo el Alto,Guanajuato,20.45,-100.6167,1484638153
Santiago Tianguistenco,México,19.1797,-99.4706,1484113134
Misantla,Veracruz,19.9333,-96.85,1484744150
Guamuchil,Sinaloa,25.4639,-108.0794,1484709566
Teoloyucan,México,19.7442,-99.1811,1484003827
Puerto Penasco,Sonora,31.3167,-113.5369,1484567937
Cortazar,Guanajuato,20.4828,-100.9611,1484238779
Valle de Bravo,México,19.1925,-100.1306,1484105173
Huatusco,Veracruz,19.1489,-96.9661,1484463389
Atotonilco el Alto,Jalisco,20.5333,-102.5,1484290836
Huehuetoca,México,19.8342,-99.2033,1484000089
Altamira,Tamaulipas,22.3375,-97.8694,1484764524
Huauchinango,Puebla,20.1767,-98.0528,1484856743
Balancan,Tabasco,17.8,-91.5333,1484783192
Temascalcingo,México,19.9147,-100.0036,1484038182
Zempoala,Hidalgo,19.9153,-98.6689,1484524155
Jerez de Garcia Salinas,Zacatecas,22.6481,-102.9903,1484361423
Santiago Tuxtla,Veracruz,18.4653,-95.3025,1484009696
Cosamaloapan,Veracruz,18.3667,-95.8,1484307969
Alvarado,Veracruz,18.7811,-95.7572,1484208918
Tezonapa,Veracruz,18.6,-96.6833,1484617215
Acambay,México,19.9539,-99.8431,1484667611
Acambaro,Guanajuato,20.0361,-100.7314,1484524073
Uman,Yucatán,20.8833,-89.75,1484009408
Chiapa de Corzo,Chiapas,16.7069,-93.0139,1484314420
Nuevo Casas Grandes,Chihuahua,30.4167,-107.9167,1484004002
Oxchuc,Chiapas,16.7833,-92.2833,1484221816
Tequisquiapan,Querétaro,20.5206,-99.8958,1484303338
Ixhuatlan de Madero,Veracruz,20.6833,-98.0167,1484817314
Encarnacion de Diaz,Jalisco,21.5167,-102.2333,1484206173
Pinotepa,Oaxaca,16.3412,-98.0537,1484150923
Simojovel de Allende,Chiapas,17.15,-92.7167,1484425686
San Jose Villa de Allende,México,19.3747,-100.1475,1484492033
Tizimin,Yucatán,21.1425,-88.1647,1484254957
Tlacotepec,Puebla,18.6882,-97.6489,1484013898
Taxco de Alarcon,Guerrero,18.5564,-99.605,1484987082
Uriangato,Guanajuato,20.1333,-101.1667,1484679933
Acatzingo,Puebla,18.9817,-97.7822,1484022961
Huamantla,Tlaxcala,19.3133,-97.9228,1484180362
Palenque,Chiapas,17.4333,-91.8,1484011438
Uman,Yucatán,20.8833,-89.75,1484028324
Zumpango,México,19.7969,-99.0992,1484625824
Francisco I. Madero,Coahuila,25.7753,-103.2731,1484764993
Tepeapulco,Hidalgo,19.7856,-98.5517,1484457950
San Pedro,Coahuila,25.7578,-102.9831,1484673086
Santa Lucia del Camino,Oaxaca,17.0667,-96.7,1484226980
Catemaco,Veracruz,18.4167,-95.1167,1484469922
Cintalapa de Figueroa,Chiapas,16.6978,-93.7203,1484563700
Valladolid,Yucatán,20.6894,-88.2017,1484332013
Jimenez,Chihuahua,27.13,-104.9067,1484452730
San Pedro Mixtepec,Oaxaca,16.0,-97.1169,1484546885
Colonia del Sol,Baja California Sur,22.9125,-109.9208,1484445555
Cuetzalan,Puebla,20.0333,-97.5167,1484831454
Ocosingo,Chiapas,16.9072,-92.0961,1484937914
Pabellon de Arteaga,Aguascalientes,22.15,-102.2667,1484799033
Buena Vista Tomatlan,Michoacán,19.2102,-102.5869,1484801408
Chenalho,Chiapas,16.9333,-92.5667,1484048952
Calimaya,México,19.1608,-99.6172,1484137559
Santiago,Nuevo León,25.4333,-100.1333,1484043921
Teotihuacan,México,19.6897,-98.8608,1484416743
